RECORDING_SESSION_LABEL,id,rel_start,rel_end,ioa
sub1,6,-1875,-1349,0
sub1,6,-1330,-1074,0
sub1,6,-901,-554,c
sub1,6,-533,-76,0
sub1,6,-36,129,c
sub1,6,193,352,a
sub1,6,399,760,b
sub1,6,814,957,a
sub1,6,977,1265,a
sub1,16,-1876,-1530,0
sub1,16,-1502,-1004,c
sub1,16,-984,-432,c
sub1,16,-284,-74,c
sub1,16,-47,129,c
sub1,16,190,366,b
sub1,16,412,686,a
sub1,16,743,1060,c
sub1,16,1113,1525,b
sub1,33,-1867,-1458,0
sub1,33,-1282,-900,0
sub1,33,-873,-535,b
sub1,33,-508,-70,0
sub1,33,-42,-17,b
sub1,33,12,155,b
sub1,33,206,399,a
sub1,33,454,826,c
sub1,33,895,1154,a
sub1,1,-1871,-1538,0
sub1,1,-1392,-952,c
sub1,1,-897,-522,0
sub1,1,-370,-66,0
sub1,1,-30,141,a
sub1,1,201,406,c
sub1,1,451,716,b
sub1,1,773,1089,c
sub1,1,1153,1431,a
sub1,10,-1876,-1496,0
sub1,10,-1480,-1165,0
sub1,10,-969,-80,0
sub1,10,-43,123,c
sub1,10,174,394,a
sub1,10,453,954,b
sub1,10,1016,1219,a
sub1,38,-1871,-899,0
sub1,38,-706,-243,0
sub1,38,-217,-56,a
sub1,38,-14,194,a
sub1,38,259,438,b
sub1,38,485,815,c
sub1,38,867,1126,a
sub1,38,1182,1313,b
sub1,13,-1873,-1392,0
sub1,13,-1231,-853,a
sub1,13,-827,-517,a
sub1,13,-471,-225,0
sub1,13,-192,45,a
sub1,13,66,164,a
sub1,13,218,371,b
sub1,13,420,1184,c
sub1,44,-1873,-1466,0
sub1,44,-1451,-1098,0
sub1,44,-924,-84,a
sub1,44,-51,123,a
sub1,44,171,358,c
sub1,44,411,881,b
sub1,44,935,1093,a
sub1,44,1116,1208,a
sub1,45,-1875,-1654,0
sub1,45,-1610,-1356,0
sub1,45,-1147,-477,b
sub1,45,-449,-84,a
sub1,45,-45,118,b
sub1,45,166,379,a
sub1,45,438,718,c
sub1,45,771,1011,b
sub1,45,1065,1208,a
sub1,31,-1874,-1680,0
sub1,31,-1506,-964,0
sub1,31,-873,-687,0
